nba_player_id,player,team,opp_team,line,actual,prop_type_norm,pick_type,bet_direction,tier,abs_edge,abs_edge_bucket,minutes_bucket,actual_minutes,allowed_dir,dir_ok,platform_ok,_opp_def_bucket,result,void_reason,result_sign,pos,prop_type,min_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,overall_def_rank,def_tier,edge,confidence,prop_weight,pick_minutes_bucket,dir_minutes_bucket,min_def_bucket
1642285,Cam Spencer,MEM,POR,28.5,,pra,Demon,OVER,A,8.53,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,24.17,0,5,0,0.0,25,Target,8.53,8.96,1.05,Demon | NA,OVER | NA,NA | NA
203497,Rudy Gobert,MIN,NOP,30.5,,pra,Demon,OVER,A,8.52,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,C,Pts+Rebs+Asts,31.28,0,5,0,0.0,26,Target,8.52,8.95,1.05,Demon | NA,OVER | NA,NA | NA
1630183,Jaden McDaniels,MIN,NOP,9.5,,points,Goblin,OVER,A,8.38,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F,Points,32.36,4,1,0,0.8,26,Target,8.38,8.38,1.0,Goblin | NA,OVER | NA,NA | NA
201950,Jrue Holiday,POR,MEM,29.5,,pra,Demon,OVER,A,8.37,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,28.14,0,5,0,0.0,17,Avg,8.37,8.79,1.05,Demon | NA,OVER | NA,NA | NA
1630180,Saddiq Bey,NOP,MIN,11.5,,points,Goblin,OVER,A,8.37,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G-F,Points,30.41,4,1,0,0.8,4,Elite,8.37,8.37,1.0,Goblin | NA,OVER | NA,NA | NA
203944,Julius Randle,MIN,NOP,29.5,,points,Demon,OVER,A,8.31,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F-C,Points,33.48,1,4,0,0.2,26,Target,8.31,8.31,1.0,Demon | NA,OVER | NA,NA | NA
203924,Jerami Grant,POR,MEM,24.5,,points,Demon,OVER,A,8.28,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F,Points,29.09,0,5,0,0.0,17,Avg,8.28,8.28,1.0,Demon | NA,OVER | NA,NA | NA
1641796,Pelle Larsson,MIA,BOS,15.5,,pra,Goblin,OVER,A,8.15,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,24.27,5,0,0,1.0,6,Elite,8.15,8.56,1.05,Goblin | NA,OVER | NA,NA | NA
1642920,Kobe Sanders,LAC,SAC,22.5,,pra,Demon,OVER,A,8.07,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,21.57,1,4,0,0.2,26,Target,8.07,8.48,1.05,Demon | NA,OVER | NA,NA | NA
202696,Nikola Vučević,BOS,MIA,9.5,,points,Goblin,OVER,A,8.06,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,C,Points,30.85,5,0,0,1.0,10,Good,8.06,8.06,1.0,Goblin | NA,OVER | NA,NA | NA
1626157,Karl-Anthony Towns,NYK,DET,24.5,,points,Demon,OVER,A,8.06,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,C-F,Points,31.44,0,5,0,0.0,3,Elite,8.06,8.06,1.0,Demon | NA,OVER | NA,NA | NA
1628973,Jalen Brunson,NYK,DET,31.5,,points,Demon,OVER,A,8.05,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Points,34.67,1,4,0,0.2,3,Elite,8.05,8.05,1.0,Demon | NA,OVER | NA,NA | NA
201572,Brook Lopez,LAC,SAC,18.5,,pra,Demon,OVER,A,8.05,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,C,Pts+Rebs+Asts,17.35,1,4,0,0.2,26,Target,8.05,8.46,1.05,Demon | NA,OVER | NA,NA | NA
202696,Nikola Vučević,BOS,MIA,21.5,,pra,Standard,OVER,A,8.04,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,C,Pts+Rebs+Asts,30.85,4,1,0,0.8,10,Good,8.04,8.44,1.05,Standard | NA,OVER | NA,NA | NA
1629645,Kevin Porter,MIL,IND,20.5,,points,Demon,OVER,A,7.9,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G-F,Points,33.38,0,5,0,0.0,21,Bad,7.9,7.9,1.0,Demon | NA,OVER | NA,NA | NA
1630202,Payton Pritchard,BOS,MIA,11.5,,points,Goblin,OVER,A,7.82,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Points,32.7,4,1,0,0.8,10,Good,7.82,7.82,1.0,Goblin | NA,OVER | NA,NA | NA
203903,Jordan Clarkson,NYK,DET,14.5,,points,Demon,OVER,A,7.82,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Points,19.43,0,5,0,0.0,3,Elite,7.82,7.82,1.0,Demon | NA,OVER | NA,NA | NA
1630530,Trey Murphy,NOP,MIN,29.5,,points,Demon,OVER,A,7.77,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F,Points,35.88,1,4,0,0.2,4,Elite,7.77,7.77,1.0,Demon | NA,OVER | NA,NA | NA
1629614,Andrew Nembhard,IND,MIL,24.5,,points,Demon,OVER,A,7.72,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G-F,Points,32.02,2,3,0,0.4,14,Avg,7.72,7.72,1.0,Demon | NA,OVER | NA,NA | NA
1630191,Isaiah Stewart,DET,NYK,17.5,,points,Demon,OVER,A,7.71,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F-C,Points,23.5,0,5,0,0.0,6,Elite,7.71,7.71,1.0,Demon | NA,OVER | NA,NA | NA
202695,Kawhi Leonard,LAC,SAC,43.5,,pra,Demon,OVER,A,7.7,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F,Pts+Rebs+Asts,32.73,0,5,0,0.0,26,Target,7.7,8.08,1.05,Demon | NA,OVER | NA,NA | NA
1641842,Ronald Holland,DET,NYK,14.5,,points,Demon,OVER,A,7.67,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F,Points,20.6,0,5,0,0.0,6,Elite,7.67,7.67,1.0,Demon | NA,OVER | NA,NA | NA
1641713,GG Jackson,MEM,POR,19.5,,points,Demon,OVER,A,7.64,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F,Points,18.14,0,5,0,0.0,25,Target,7.64,7.64,1.0,Demon | NA,OVER | NA,NA | NA
1642285,Cam Spencer,MEM,POR,19.5,,points,Demon,OVER,A,7.58,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Points,24.17,1,4,0,0.2,25,Target,7.58,7.58,1.0,Demon | NA,OVER | NA,NA | NA
