nba_player_id,player,team,opp_team,line,actual,prop_type_norm,pick_type,bet_direction,tier,abs_edge,abs_edge_bucket,minutes_bucket,actual_minutes,_opp_def_bucket,pick_minutes_bucket,dir_minutes_bucket,min_def_bucket,allowed_dir,dir_ok,platform_ok,result,void_reason,result_sign,pos,prop_type,min_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,overall_def_rank,def_tier,edge,confidence,prop_weight
1631093,Jaden Ivey,CHI,DEN,21.5,,pra,Goblin,OVER,A,9.17,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,17.26,1,4,0,0.2,13,Avg,9.17,9.17,1.0
1628976,Wendell Carter,ORL,UTA,27.5,,pra,Demon,OVER,A,9.13,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,C-F,Pts+Rebs+Asts,29.69,1,4,0,0.2,30,Target,9.13,9.13,1.0
1627936,Alex Caruso,OKC,HOU,19.5,,pra,Demon,OVER,A,9.12,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,18.21,0,5,0,0.0,9,Good,9.12,9.12,1.0
1630170,Devin Vassell,SAS,DAL,25.5,,pra,Demon,OVER,A,9.09,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G-F,Pts+Rebs+Asts,31.08,0,5,0,0.0,12,Good,9.09,9.09,1.0
1630178,Tyrese Maxey,PHI,PHX,34.5,,points,Demon,OVER,A,9.05,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Points,38.88,1,4,0,0.2,19,Bad,9.05,9.05,1.0
1631096,Chet Holmgren,OKC,HOU,35.5,,pra,Demon,OVER,A,8.96,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,C-F,Pts+Rebs+Asts,29.22,1,4,0,0.2,9,Good,8.96,8.96,1.0
1641717,Cason Wallace,OKC,HOU,24.5,,pra,Demon,OVER,A,8.94,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,26.53,1,4,0,0.2,9,Good,8.94,8.94,1.0
1630198,Isaiah Joe,OKC,HOU,19.5,,points,Demon,OVER,A,8.9,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Points,20.65,1,4,0,0.2,9,Good,8.9,8.9,1.0
1641824,Matas Buzelis,CHI,DEN,24.5,,points,Demon,OVER,A,8.89,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F,Points,28.27,0,5,0,0.0,13,Avg,8.89,8.89,1.0
1642849,Nolan Traore,BKN,WAS,24.5,,pra,Demon,OVER,A,8.88,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,20.18,1,4,0,0.2,28,Target,8.88,8.88,1.0
1642383,Walter Clayton,MEM,POR,14.5,11.0,points,Demon,OVER,A,8.8,3+,NA,22.033333333333335,NA,Demon | NA,OVER | NA,NA | NA,,,,MISS,,-1,G,Points,18.13,0,5,0,0.0,25,Target,8.8,8.8,1.0
1641717,Cason Wallace,OKC,HOU,19.5,,points,Demon,OVER,A,8.79,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Points,26.53,1,4,0,0.2,9,Good,8.79,8.79,1.0
1642843,Cooper Flagg,DAL,SAS,19.5,,points,Goblin,OVER,A,8.78,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F,Points,34.26,4,1,0,0.8,2,Elite,8.78,8.78,1.0
1628415,Dillon Brooks,PHX,PHI,14.5,,points,Goblin,OVER,A,8.7,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G-F,Points,31.15,4,1,0,0.8,18,Avg,8.7,8.7,1.0
1630598,Aaron Wiggins,OKC,HOU,27.5,,pra,Demon,OVER,A,8.63,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,24.03,1,4,0,0.2,9,Good,8.63,8.63,1.0
1631094,Paolo Banchero,ORL,UTA,43.5,,pra,Demon,OVER,A,8.52,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F,Pts+Rebs+Asts,34.25,1,4,0,0.2,30,Target,8.52,8.52,1.0
1629660,Ty Jerome,MEM,POR,23.5,,pra,Standard,OVER,A,8.5,3+,NA,,NA,Standard | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G-F,Pts+Rebs+Asts,20.33,3,0,0,1.0,25,Target,8.5,8.5,1.0
1629008,Michael Porter,BKN,WAS,31.5,,points,Demon,OVER,A,8.47,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F,Points,33.05,2,3,0,0.4,28,Target,8.47,8.47,1.0
1629656,Quentin Grimes,PHI,PHX,24.5,,pra,Demon,OVER,A,8.42,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,30.02,0,5,0,0.0,19,Bad,8.42,8.42,1.0
1630170,Devin Vassell,SAS,DAL,19.5,,points,Demon,OVER,A,8.42,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G-F,Points,31.08,0,5,0,0.0,12,Good,8.42,8.42,1.0
1642383,Walter Clayton,MEM,POR,18.5,18.0,pra,Demon,OVER,A,8.33,3+,NA,22.033333333333335,NA,Demon | NA,OVER | NA,NA | NA,,,,MISS,,-1,G,Pts+Rebs+Asts,18.13,0,5,0,0.0,25,Target,8.33,8.33,1.0
1629008,Michael Porter,BKN,WAS,40.5,,pra,Demon,OVER,A,8.33,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F,Pts+Rebs+Asts,33.05,2,3,0,0.4,28,Target,8.33,8.33,1.0
1628991,Jaren Jackson,UTA,ORL,13.5,,points,Goblin,OVER,A,8.32,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F-C,Points,30.73,5,0,0,1.0,8,Good,8.32,8.32,1.0
1629651,Nic Claxton,BKN,WAS,28.5,,pra,Demon,OVER,A,8.32,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,C,Pts+Rebs+Asts,29.23,0,5,0,0.0,28,Target,8.32,8.32,1.0
1628991,Jaren Jackson,UTA,ORL,22.5,,pra,Standard,OVER,A,8.31,3+,NA,,NA,Standard | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F-C,Pts+Rebs+Asts,30.73,5,0,0,1.0,8,Good,8.31,8.31,1.0
1626164,Devin Booker,PHX,PHI,17.5,,points,Goblin,OVER,A,8.24,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Points,34.02,5,0,0,1.0,18,Avg,8.24,8.24,1.0
1628378,Donovan Mitchell,CLE,SAC,34.5,,points,Demon,OVER,A,8.23,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Points,33.77,1,4,0,0.2,26,Target,8.23,8.23,1.0
1642273,Kyshawn George,WAS,BKN,30.5,,pra,Demon,OVER,A,8.23,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F,Pts+Rebs+Asts,30.51,1,4,0,0.2,29,Target,8.23,8.23,1.0
203110,Draymond Green,GSW,LAL,24.5,,pra,Demon,OVER,A,8.23,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F,Pts+Rebs+Asts,26.56,1,4,0,0.2,24,Bad,8.23,8.23,1.0
1631096,Chet Holmgren,OKC,HOU,24.5,,points,Demon,OVER,A,8.23,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,C-F,Points,29.22,0,5,0,0.0,9,Good,8.23,8.23,1.0
