player_norm,espn_athlete_id
david de gea,108482
luca lezzerini,164581
oliver christensen,249668
pietro leonardelli,399317
mattia magalotti,419202
dodo,400316
daniele rugani,181673
robin gosens,198087
marin pongracic,255650
luca ranieri,262481
tariq lamptey,276039
fabiano parisi,308082
luis balbo,362910
pietro comuzzo,367168
niccolo fortini,384300
eddy kouadio,390673
eman kospo,403581
edoardo sadotti,418181
rolando mandragora,210392
abdelhamid sabiri,252293
marco brescianini,276237
nicolo fagioli,276254
giovanni fabbian,323118
jacopo fazzini,333938
cher ndour,360061
lapo deli,418182
piergiorgio bonanno,418183
jack harrison,199850
albert gudmundsson,224044
moise kean,248633
manor solomon,257256
roberto piccoli,285438
riccardo braschi,408385
gabriele bertolini,419203
lukasz skorupski,179358
federico ravaglia,245626
massimo pessina,388880
ukko happonen,410822
matteo franceschelli,415168
lorenzo de silvestri,68070
joao mario,139008
charalampos lykogiannis,170670
jhon lucumi,227697
nicolo casale,250707
juan miranda,261616
torbjorn heggem,272867
nadir zortea,291560
martin vitik,309110
eivind helland,361818
bodin tomasevic,364410
petar markovic,415747
davide baroncioni,418034
remo freuler,152600
lewis ferguson,202429
nikola moro,228333
simon sohm,275015
tommaso pobega,276654
luca lai,418033
jon rowe,118279
federico bernardeschi,180956
riccardo orsolini,234426
jens odgaard,238407
santiago castro,250284
thijs dallinga,266280
nicolo cambiaghi,287790
benjamin dominguez,331231
francesco castaldo,418035
simone negri,418037
nicola leali,151649
benjamin siegrist,158948
justin bijlow,205653
daniele sommariva,210391
ernestas lysionok,410399
rendijs mihelsons,416531
stefano sabelli,177862
aaron martin,242007
johan vasquez,259975
leo østigard,281736
brooke norton-cuffy,311173
sebastian otoa,350205
alessandro marcandalli,364761
nils zatterstrom,380679
alin kumer,414538
mamedi doucoure,419268
ruslan malinovskyi,208789
morten frendrup,270884
jean onana,302948
tommaso baldanzi,309518
mikael ellertsson,324256
patrizio masini,346840
alexsandro amorim,358445
caleb ekuban,182071
maxwel cornet,187411
junior messias,261054
lorenzo colombo,297220
jeff ekhator,388606
joi nuredini,401482
vitinha,288897
yann sommer,93197
raffaele di gennaro,181322
josep martinez,240533
alessandro calligaris,366428
alain taho,400734
matteo darmian,91873
stefan de vrij,141443
francesco acerbi,148842
federico dimarco,194748
denzel dumfries,213248
manuel akanji,214562
alessandro bastoni,249280
yann bisseck,266660
carlos augusto,271769
christos alexiou,387831
matteo cocchi,387835
simone cinquegrano,412248
yvan maye,412249
henrikh mkhitaryan,147625
hakan calhanoglu,170785
piotr zielinski,177782
nicolo barella,204441
davide frattesi,250850
andy diouf,319167
ivo kaczmarski,322311
petar sucic,341494
issiaka kamate,357109
luka topalovic,364026
thomas berenbruch,387830
leonardo bovo,409052
marcus thuram,217331
lautaro martinez,219713
luis henrique,286369
ange-yoan bonny,309185
pio esposito,362674
matteo spinacce,402511
matteo lavelli,402778
mattia mosconi,409051
marco silvestri,125906
emil audero,207834
lapo nava,333386
adrian malovec,372740
federico ceccherini,153315
matteo bianchetti,163990
sebastiano luperto,192573
giuseppe pezzella,224249
mikayil faye,297344
tommaso barbieri,297783
filippo terracciano,303919
federico baschirotto,324225
romano floriani,330041
francesco folino,386293
davide pavesi,403466
jari vandeputte,197345
morten thorsby,202686
alberto grassi,209869
youssef maleh,241405
martin payero,262565
michele collocolo,277475
warren bondo,305672
milan djuric,116477
jamie vardy,165648
antonio sanabria,192162
federico bonazzoli,197062
david okereke,233087
alessio zerbin,252447
faris moumbagna,276160
adrian lickunas,412139
ivan provedel,181836
alessio furlanetto,288361
edoardo motta,367320
elseid hysaj,167601
patric,169818
alessio romagnoli,177816
samuel gigot,191102
adam marusic,218105
luca pellegrini,251144
nuno tavares,288901
mario gila,324097
oliver provstgaard,333311
danilo cataldi,178627
mattia zaccagni,204669
toma basic,221057
manuel lazzari,241430
kenneth taylor,282228
nicolo rovella,285969
fisayo dele-bashiru,295515
reda belahyane,345323
adrian przyborek,364224
valerio farcomeni,411164
pedro,267917
boulaye dia,282381
daniel maldini,290545
gustav isaksen,291550
matteo cancellieri,308944
tijjani noslin,323113
petar ratkov,342136
sana fernandes,369003
federico serra,399454
zion suzuki,265958
edoardo corvi,290792
filippo rinaldi,297785
gianluca astaldi,408947
gabriele casentini,417784
marlon mena,145165
emanuele valeri,261274
enrico del prato,272694
lautaro valenti,281590
abdoulaye ndiaye,288540
