player,team,prop_type,actual
Tavion Banks,IOWA,Rebs+Asts,2.0
Tavion Banks,IOWA,Blks+Stls,0.0
Kael Combs,IOWA,Points,4.0
Kael Combs,IOWA,Rebounds,4.0
Kael Combs,IOWA,Assists,3.0
Kael Combs,IOWA,Blocked Shots,0.0
Kael Combs,IOWA,Steals,2.0
Kael Combs,IOWA,Turnovers,0.0
Kael Combs,IOWA,FG Made,2.0
Kael Combs,IOWA,FG Attempted,5.0
Kael Combs,IOWA,3-PT Made,0.0
Kael Combs,IOWA,3-PT Attempted,1.0
Kael Combs,IOWA,Two Pointers Made,2.0
Kael Combs,IOWA,Two Pointers Attempted,4.0
Kael Combs,IOWA,Free Throws Made,0.0
Kael Combs,IOWA,Free Throws Attempted,0.0
Kael Combs,IOWA,Offensive Rebounds,1.0
Kael Combs,IOWA,Defensive Rebounds,3.0
Kael Combs,IOWA,Personal Fouls,0.0
Kael Combs,IOWA,Fantasy Score,17.5
Kael Combs,IOWA,Pts+Rebs+Asts,11.0
Kael Combs,IOWA,PRA,11.0
Kael Combs,IOWA,Pts+Rebs,8.0
Kael Combs,IOWA,Pts+Asts,7.0
Kael Combs,IOWA,Rebs+Asts,7.0
Kael Combs,IOWA,Blks+Stls,2.0
Alvaro Folgueiras,IOWA,Points,11.0
Alvaro Folgueiras,IOWA,Rebounds,6.0
Alvaro Folgueiras,IOWA,Assists,4.0
Alvaro Folgueiras,IOWA,Blocked Shots,0.0
Alvaro Folgueiras,IOWA,Steals,1.0
Alvaro Folgueiras,IOWA,Turnovers,1.0
Alvaro Folgueiras,IOWA,FG Made,4.0
Alvaro Folgueiras,IOWA,FG Attempted,7.0
Alvaro Folgueiras,IOWA,3-PT Made,1.0
Alvaro Folgueiras,IOWA,3-PT Attempted,4.0
Alvaro Folgueiras,IOWA,Two Pointers Made,3.0
Alvaro Folgueiras,IOWA,Two Pointers Attempted,3.0
Alvaro Folgueiras,IOWA,Free Throws Made,2.0
