projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id
10409413,268035,Jimmy Snuggerud,STL,F,Shots On Goal,1.5,goblin,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,ANA,0,8483516
10409532,218312,Jake Neighbours,STL,F,Shots On Goal,1.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,ANA,0,8482089
10409586,268295,Beckett Sennecke,ANA,F,Shots On Goal,1.5,goblin,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8484762
10409610,218311,Dylan Holloway,STL,F,Shots On Goal,1.5,goblin,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,ANA,0,8482077
10409633,58161,Jordan Kyrou,STL,F,Shots On Goal,1.5,goblin,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,ANA,0,8479385
10409640,173423,Leo Carlsson,ANA,F,Shots On Goal,1.5,goblin,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8484153
10409967,218355,Jackson LaCombe,ANA,D,Assists,1.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,assists,SKATER,STL,1,8481605
10409980,173423,Leo Carlsson,ANA,F,Assists,1.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,assists,SKATER,STL,1,8484153
10409997,58601,Robert Thomas,STL,F,Assists,1.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,assists,SKATER,ANA,0,8480023
10413032,218319,Radko Gudas,ANA,D,Blocked Shots,1.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,blocked_shots,SKATER,STL,1,8475462
10417359,215935,Cutter Gauthier,ANA,F,Assists,1.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,assists,SKATER,STL,1,8483445
10392588,218287,Alex Killorn,ANA,F,Goals,0.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,goals,SKATER,STL,1,8473986
10392589,268295,Beckett Sennecke,ANA,F,Goals,0.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,goals,SKATER,STL,1,8484762
10392590,225514,Cam Fowler,STL,D,Goals,0.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,goals,SKATER,ANA,0,8475764
