rank,tier,player,team,opp,is_home,player_role,position_group,prop_display,prop_type,line,direction,composite_hr,hr_L5,hr_L10,hr_L20,hr_season,sample_L5,sample_L10,sample_L20,sample_season,avg_L5,avg_L10,avg_L20,avg_season,gap_vs_line_L5,gap_vs_line_L10,last1_raw,last2_raw,last3_raw,games_played,scoring_tier,pp_tier,def_tier,def_rank,opp_gaa,opp_saa,opp_pk_pct,pts_per_game,pp_pts_per_game,toi_avg_L10,toi_per_game_api,prop_score,edge
281,A,Connor Clifton,PIT,BOS,1,SKATER,D,Blocked Shots,blocked_shots,2.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,SHUTDOWN,NO_PP,AVERAGE,18,3.145,0.000,0.000,0.156,0.000,18.88,16.58,1.01000,0.5000
282,A,Connor Clifton,PIT,BOS,1,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,SHUTDOWN,NO_PP,AVERAGE,18,3.145,0.000,0.000,0.156,0.000,18.88,16.58,1.01000,0.5000
283,A,Adam Erne,DAL,CHI,1,SKATER,F,Hits,hits,3.0,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,29,0.00,0.00,0.00,0.00,,,,,,0,SHUTDOWN,NO_PP,AVERAGE,23,3.242,0.000,0.000,0.172,0.000,0.00,9.67,1.01000,0.5000
284,A,Lian Bichsel,DAL,CHI,1,SKATER,D,Hits,hits,3.0,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,SHUTDOWN,NO_PP,AVERAGE,23,3.242,0.000,0.000,0.161,0.000,15.23,15.68,1.01000,0.5000
285,A,Nathan Bastian,DAL,CHI,1,SKATER,F,Hits,hits,2.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,29,0.00,0.00,0.00,0.00,,,0,0,0,30,SHUTDOWN,NO_PP,AVERAGE,23,3.242,0.000,0.000,0.172,0.000,11.38,8.70,1.01000,0.5000
286,A,Dougie Hamilton,NJ,DET,0,SKATER,D,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,DEPTH,PP_REGULAR,SOLID,14,3.016,0.000,0.000,0.448,0.207,19.52,21.67,1.01000,0.5000
287,A,Quinn Hughes,MIN,COL,0,SKATER,D,Assists,assists,1.5,UNDER,86.9%,100.0%,80.0%,75.0%,76.7%,5,10,20,30,0.80,0.80,0.70,0.73,-0.7,-0.7,0,1,1,30,ELITE,PP1_STAR,ELITE,1,2.500,0.000,0.000,1.250,0.531,27.09,27.98,1.00920,0.3692
288,A,Patrick Kane,DET,NJ,0,SKATER,F,Points,points,1.5,UNDER,97.9%,100.0%,100.0%,95.0%,86.7%,5,10,20,30,0.80,0.80,1.00,0.97,-0.7,-0.7,1,0,1,30,SECONDARY,PP_REGULAR,,,,,,0.708,0.250,19.11,17.20,1.00920,0.4792
289,A,Brandon Hagel,TB,BUF,0,SKATER,F,Shots On Goal,shots_on_goal,4.5,UNDER,81.1%,80.0%,80.0%,85.0%,83.3%,5,10,20,30,2.20,2.10,2.50,2.50,-2.3,-2.4,2,4,1,30,ELITE,PP_OCC,ELITE,8,2.952,0.000,0.000,1.018,0.161,19.23,19.75,1.00810,0.3108
290,A,Erik Karlsson,PIT,BOS,1,SKATER,D,Shots On Goal,shots_on_goal,4.5,UNDER,86.4%,80.0%,90.0%,95.0%,86.7%,5,10,20,30,1.20,1.70,1.90,2.10,-3.3,-2.8,2,1,2,30,SECONDARY,PP_REGULAR,AVERAGE,18,3.145,0.000,0.000,0.702,0.298,22.68,23.62,1.00790,0.3642
291,A,Zach Hyman,EDM,VGK,0,SKATER,F,Shots On Goal,shots_on_goal,4.5,UNDER,84.6%,80.0%,90.0%,85.0%,83.3%,5,10,20,30,2.00,2.60,3.05,2.93,-2.5,-1.9,2,0,5,30,ELITE,PP_REGULAR,AVERAGE,19,3.190,0.000,0.000,0.977,0.318,17.23,20.23,1.00730,0.3458
292,A,Brent Burns,COL,MIN,1,SKATER,D,Shots On Goal,shots_on_goal,3.5,UNDER,87.2%,100.0%,80.0%,75.0%,80.0%,5,10,20,30,0.60,1.10,1.40,1.80,-2.9,-2.4,0,1,1,30,DEPTH,NO_PP,ELITE,6,2.891,0.000,0.000,0.452,0.016,17.96,19.32,1.00720,0.3725
293,A,Devon Toews,COL,MIN,1,SKATER,D,Shots On Goal,shots_on_goal,0.5,OVER,96.1%,100.0%,100.0%,85.0%,83.3%,5,10,20,30,0.80,1.60,1.50,1.57,0.3,1.1,2,0,1,30,DEPTH,NO_PP,ELITE,6,2.891,0.000,0.000,0.306,0.000,24.65,22.42,1.00610,0.4608
294,A,Arseny Gritsyuk,NJ,DET,0,SKATER,F,Shots On Goal,shots_on_goal,3.5,UNDER,89.8%,100.0%,80.0%,85.0%,90.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,,,,0,DEPTH,PP_OCC,SOLID,14,3.016,0.000,0.000,0.458,0.085,0.00,15.18,1.00520,0.3975
295,A,Kirill Kaprizov,MIN,COL,0,SKATER,F,Shots On Goal,shots_on_goal,4.5,UNDER,77.2%,80.0%,80.0%,70.0%,66.7%,5,10,20,30,3.80,3.80,3.90,3.77,-0.7,-0.7,3,4,1,30,ELITE,PP1_STAR,ELITE,1,2.500,0.000,0.000,1.188,0.453,22.09,22.38,1.00430,0.2717
296,A,Morgan Geekie,BOS,PIT,0,SKATER,F,Shots On Goal,shots_on_goal,3.5,UNDER,82.5%,80.0%,80.0%,90.0%,90.0%,5,10,20,30,2.80,2.00,1.85,1.93,-0.7,-1.5,2,2,3,30,ELITE,PP_REGULAR,SOLID,9,2.968,0.000,0.000,0.918,0.361,18.34,17.45,1.00400,0.3250
297,A,Marco Kasper,DET,NJ,0,SKATER,F,Shots On Goal,shots_on_goal,3.5,UNDER,94.0%,100.0%,90.0%,90.0%,90.0%,5,10,20,30,4.00,2.80,2.35,2.30,0.5,-0.7,6,3,5,30,SHUTDOWN,NO_PP,,,,,,0.242,0.032,17.50,13.82,1.00280,0.4400
298,A,Morgan Geekie,BOS,PIT,0,SKATER,F,Points,points,1.5,UNDER,92.2%,100.0%,90.0%,85.0%,80.0%,5,10,20,30,1.40,1.80,1.25,1.03,-0.1,0.3,1,1,2,30,ELITE,PP_REGULAR,SOLID,9,2.968,0.000,0.000,0.918,0.361,18.34,17.45,1.00250,0.4225
299,A,Matt Duchene,DAL,CHI,1,SKATER,F,Shots On Goal,shots_on_goal,3.5,UNDER,86.8%,80.0%,90.0%,95.0%,90.0%,5,10,20,30,1.20,1.50,1.90,2.00,-2.3,-2.0,0,2,0,30,SECONDARY,PP_OCC,AVERAGE,23,3.242,0.000,0.000,0.757,0.189,16.85,15.93,1.00160,0.3675
300,A,Matt Boldy,MIN,COL,0,SKATER,F,Shots On Goal,shots_on_goal,5.5,UNDER,76.8%,80.0%,70.0%,80.0%,83.3%,5,10,20,30,3.20,2.60,2.80,3.10,-2.3,-2.9,3,4,0,30,ELITE,PP1_STAR,ELITE,1,2.500,0.000,0.000,1.200,0.400,22.06,20.82,1.00050,0.2683
301,A,Bobby Brink,MIN,COL,0,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,SHUTDOWN,NO_PP,ELITE,1,2.500,0.000,0.000,0.000,0.000,16.90,13.17,1.00000,0.5000
302,A,Hampus Lindholm,BOS,PIT,0,SKATER,D,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,17,DEPTH,PP_OCC,SOLID,9,2.968,0.000,0.000,0.438,0.083,20.06,22.05,1.00000,0.5000
303,A,Beck Malenstyn,BUF,TB,0,SKATER,F,Hits,hits,3.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,SHUTDOWN,NO_PP,,,,,,0.145,0.000,10.81,11.18,1.00000,0.5000
304,A,Erik Cernak,TB,BUF,0,SKATER,D,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,SHUTDOWN,NO_PP,ELITE,8,2.952,0.000,0.000,0.167,0.000,17.80,18.22,1.00000,0.5000
305,A,Luke Hughes,NJ,DET,0,SKATER,D,Time On Ice,time_on_ice,22.2,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,DEPTH,PP_OCC,SOLID,14,3.016,0.000,0.000,0.547,0.170,22.84,22.92,1.00000,0.5000
306,A,Ben Chiarot,DET,NJ,0,SKATER,D,Blocked Shots,blocked_shots,2.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,SHUTDOWN,NO_PP,,,,,,0.190,0.000,21.19,21.12,1.00000,0.5000
307,A,Ben Chiarot,DET,NJ,0,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,SHUTDOWN,NO_PP,,,,,,0.190,0.000,21.19,21.12,1.00000,0.5000
308,A,Timo Meier,NJ,DET,0,SKATER,F,Points,points,1.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,1.20,0.80,0.70,0.63,-0.3,-0.7,3,0,0,30,DEPTH,PP_OCC,SOLID,14,3.016,0.000,0.000,0.534,0.172,19.12,18.63,1.00000,0.5000
309,A,Arseny Gritsyuk,NJ,DET,0,SKATER,F,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,0,DEPTH,PP_OCC,SOLID,14,3.016,0.000,0.000,0.458,0.085,0.00,15.18,1.00000,0.5000
310,A,Arseny Gritsyuk,NJ,DET,0,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,0,DEPTH,PP_OCC,SOLID,14,3.016,0.000,0.000,0.458,0.085,0.00,15.18,1.00000,0.5000
311,A,Connor Brown,NJ,DET,0,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,DEPTH,PP_OCC,SOLID,14,3.016,0.000,0.000,0.500,0.054,17.04,16.92,1.00000,0.5000
312,A,Luke Hughes,NJ,DET,0,SKATER,D,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,DEPTH,PP_OCC,SOLID,14,3.016,0.000,0.000,0.547,0.170,22.84,22.92,1.00000,0.5000
313,A,Luke Hughes,NJ,DET,0,SKATER,D,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,DEPTH,PP_OCC,SOLID,14,3.016,0.000,0.000,0.547,0.170,22.84,22.92,1.00000,0.5000
314,A,Timo Meier,NJ,DET,0,SKATER,F,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,DEPTH,PP_OCC,SOLID,14,3.016,0.000,0.000,0.534,0.172,19.12,18.63,1.00000,0.5000
315,A,Timo Meier,NJ,DET,0,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,DEPTH,PP_OCC,SOLID,14,3.016,0.000,0.000,0.534,0.172,19.12,18.63,1.00000,0.5000
316,A,Jackson LaCombe,ANA,STL,1,SKATER,D,Time On Ice,time_on_ice,24.8,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,SECONDARY,PP_REGULAR,WEAK,26,3.419,0.000,0.000,0.694,0.226,25.67,24.43,1.00000,0.5000
317,A,Chris Kreider,ANA,STL,1,SKATER,F,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,SECONDARY,PP_REGULAR,WEAK,26,3.419,0.000,0.000,0.696,0.232,14.03,17.00,1.00000,0.5000
318,A,Chris Kreider,ANA,STL,1,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,SECONDARY,PP_REGULAR,WEAK,26,3.419,0.000,0.000,0.696,0.232,14.03,17.00,1.00000,0.5000
319,A,Jackson LaCombe,ANA,STL,1,SKATER,D,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,SECONDARY,PP_REGULAR,WEAK,26,3.419,0.000,0.000,0.694,0.226,25.67,24.43,1.00000,0.5000
320,A,Jackson LaCombe,ANA,STL,1,SKATER,D,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,SECONDARY,PP_REGULAR,WEAK,26,3.419,0.000,0.000,0.694,0.226,25.67,24.43,1.00000,0.5000
321,A,Tomas Hertl,VGK,EDM,1,SKATER,F,Faceoffs Won,faceoffs_won,8.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,SECONDARY,PP_REGULAR,WEAK,27,3.429,0.000,0.000,0.857,0.365,16.30,17.33,1.00000,0.5000
322,A,Colton Dach,EDM,VGK,0,SKATER,F,Hits,hits,3.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,SHUTDOWN,NO_PP,AVERAGE,19,3.190,0.000,0.000,0.000,0.000,9.59,9.53,1.00000,0.5000
323,A,Trent Frederic,EDM,VGK,0,SKATER,F,Hits,hits,3.0,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,SHUTDOWN,NO_PP,AVERAGE,19,3.190,0.000,0.000,0.067,0.000,11.60,10.88,1.00000,0.5000
324,A,Rasmus Andersson,VGK,EDM,1,SKATER,D,Blocked Shots,blocked_shots,2.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,DEPTH,PP_OCC,WEAK,27,3.429,0.000,0.000,0.429,0.071,23.22,21.55,1.00000,0.5000
325,A,Rasmus Andersson,VGK,EDM,1,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,DEPTH,PP_OCC,WEAK,27,3.429,0.000,0.000,0.429,0.071,23.22,21.55,1.00000,0.5000
326,A,Pavel Dorofeyev,VGK,EDM,1,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,SECONDARY,PP_REGULAR,WEAK,27,3.429,0.000,0.000,0.810,0.397,17.73,17.55,1.00000,0.5000
327,A,Tomas Hertl,VGK,EDM,1,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,SECONDARY,PP_REGULAR,WEAK,27,3.429,0.000,0.000,0.857,0.365,16.30,17.33,1.00000,0.5000
328,A,Dougie Hamilton,NJ,DET,0,SKATER,D,Shots On Goal,shots_on_goal,4.5,UNDER,88.3%,100.0%,80.0%,80.0%,83.3%,5,10,20,30,2.40,3.20,2.70,2.77,-2.1,-1.3,4,0,4,30,DEPTH,PP_REGULAR,SOLID,14,3.016,0.000,0.000,0.448,0.207,19.52,21.67,0.99930,0.3833
329,A,Andre Burakovsky,CHI,DAL,0,SKATER,F,Assists,assists,0.5,UNDER,96.8%,100.0%,100.0%,90.0%,83.3%,5,10,20,30,0.40,0.60,0.55,0.43,-0.1,0.1,1,0,0,30,DEPTH,PP_OCC,ELITE,3,2.742,0.000,0.000,0.536,0.179,14.02,17.00,0.99830,0.4683
330,A,Jason Zucker,BUF,TB,0,SKATER,F,Points,points,1.5,UNDER,96.8%,100.0%,100.0%,90.0%,83.3%,5,10,20,30,0.40,0.70,0.45,0.73,-1.1,-0.8,1,0,0,30,SECONDARY,PP_REGULAR,,,,,,0.705,0.273,15.72,15.72,0.99830,0.4683
331,A,Evan Bouchard,EDM,VGK,0,SKATER,D,Points,points,0.5,OVER,90.8%,100.0%,90.0%,80.0%,73.3%,5,10,20,30,0.80,1.00,0.90,0.90,0.3,0.5,0,0,1,30,ELITE,PP1_STAR,AVERAGE,19,3.190,0.000,0.000,1.143,0.413,24.26,24.65,0.99830,0.4083
332,A,David Pastrnak,BOS,PIT,0,SKATER,F,Shots On Goal,shots_on_goal,5.5,UNDER,79.2%,80.0%,80.0%,75.0%,80.0%,5,10,20,30,2.00,2.70,3.10,3.53,-3.5,-2.8,1,3,3,30,ELITE,PP1_STAR,SOLID,9,2.968,0.000,0.000,1.298,0.491,18.95,20.43,0.99760,0.2925
333,A,Wyatt Johnston,DAL,CHI,1,SKATER,F,Shots On Goal,shots_on_goal,1.5,OVER,80.1%,80.0%,80.0%,85.0%,73.3%,5,10,20,30,1.80,1.60,1.65,2.10,0.3,0.1,2,3,2,30,ELITE,PP1_STAR,AVERAGE,23,3.242,0.000,0.000,1.081,0.532,18.18,20.07,0.99690,0.3008
334,A,Evan Bouchard,EDM,VGK,0,SKATER,D,Assists,assists,0.5,OVER,90.5%,100.0%,90.0%,80.0%,70.0%,5,10,20,30,0.60,0.90,0.75,0.73,0.1,0.4,0,0,1,30,ELITE,PP1_STAR,AVERAGE,19,3.190,0.000,0.000,1.143,0.413,24.26,24.65,0.99500,0.4050
335,A,Bryan Rust,PIT,BOS,1,SKATER,F,Shots On Goal,shots_on_goal,1.5,OVER,85.2%,100.0%,70.0%,80.0%,86.7%,5,10,20,30,3.40,3.50,3.25,2.70,1.9,2.0,4,4,1,30,SECONDARY,PP_REGULAR,AVERAGE,18,3.145,0.000,0.000,0.836,0.364,19.99,20.13,0.99390,0.3517
336,A,Declan Carlile,TB,BUF,0,SKATER,D,Assists,assists,0.5,UNDER,99.3%,100.0%,100.0%,100.0%,93.3%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,3,SHUTDOWN,NO_PP,ELITE,8,2.952,0.000,0.000,0.083,0.000,13.01,14.47,0.99330,0.4933
337,A,Declan Carlile,TB,BUF,0,SKATER,D,Points,points,0.5,UNDER,99.3%,100.0%,100.0%,100.0%,93.3%,5,10,20,30,0.33,0.33,0.33,0.33,-0.167,-0.167,0,0,1,3,SHUTDOWN,NO_PP,ELITE,8,2.952,0.000,0.000,0.083,0.000,13.01,14.47,0.99330,0.4933
338,A,Alex DeBrincat,DET,NJ,0,SKATER,F,Points,points,2.5,UNDER,93.2%,100.0%,90.0%,85.0%,90.0%,5,10,20,30,1.00,0.80,0.85,1.00,-1.5,-1.7,1,1,1,30,ELITE,PP_REGULAR,,,,,,1.000,0.286,18.66,18.15,0.99250,0.4325
339,A,Erik Karlsson,PIT,BOS,1,SKATER,D,Shots On Goal,shots_on_goal,3.5,UNDER,85.0%,80.0%,90.0%,90.0%,80.0%,5,10,20,30,1.20,1.70,1.90,2.10,-2.3,-1.8,2,1,2,30,SECONDARY,PP_REGULAR,AVERAGE,18,3.145,0.000,0.000,0.702,0.298,22.68,23.62,0.99200,0.3500
340,A,Jack Quinn,BUF,TB,0,SKATER,F,Points,points,1.5,UNDER,97.2%,100.0%,100.0%,90.0%,86.7%,5,10,20,30,0.60,0.80,0.75,0.63,-0.9,-0.7,2,0,1,30,SECONDARY,PP_OCC,,,,,,0.619,0.095,14.01,15.62,0.99170,0.4717
341,A,Corey Perry,TB,BUF,0,SKATER,F,Assists,assists,0.5,UNDER,90.1%,100.0%,90.0%,75.0%,73.3%,5,10,20,30,0.00,0.20,0.45,0.37,,-0.3,0,0,0,30,ELITE,NO_PP,ELITE,8,2.952,0.000,0.000,1.000,0.000,15.43,14.97,0.99080,0.4008
342,A,Connor McDavid,EDM,VGK,0,SKATER,F,Assists,assists,0.5,OVER,90.1%,100.0%,90.0%,75.0%,73.3%,5,10,20,30,2.20,1.70,1.30,1.17,1.7,1.2,1,2,4,30,ELITE,PP1_STAR,AVERAGE,19,3.190,0.000,0.000,1.683,0.683,21.02,23.10,0.99080,0.4008
343,A,Kris Letang,PIT,BOS,1,SKATER,D,Time On Ice,time_on_ice,21.8,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,DEPTH,PP_OCC,AVERAGE,18,3.145,0.000,0.000,0.482,0.161,23.29,21.93,0.99000,0.5000
344,A,Ben Kindel,PIT,BOS,1,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,0,DEPTH,PP_OCC,AVERAGE,18,3.145,0.000,0.000,0.508,0.169,0.00,15.42,0.99000,0.5000
345,A,Kris Letang,PIT,BOS,1,SKATER,D,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,DEPTH,PP_OCC,AVERAGE,18,3.145,0.000,0.000,0.482,0.161,23.29,21.93,0.99000,0.5000
346,A,Mavrik Bourque,DAL,CHI,1,SKATER,F,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,DEPTH,PP_OCC,AVERAGE,23,3.242,0.000,0.000,0.435,0.065,13.75,14.73,0.99000,0.5000
347,A,Mavrik Bourque,DAL,CHI,1,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,DEPTH,PP_OCC,AVERAGE,23,3.242,0.000,0.000,0.435,0.065,13.75,14.73,0.99000,0.5000
348,A,Michael Bunting,DAL,CHI,1,SKATER,F,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,DEPTH,PP_OCC,AVERAGE,23,3.242,0.000,0.000,0.508,0.148,17.02,14.80,0.99000,0.5000
349,A,Thomas Harley,DAL,CHI,1,SKATER,D,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,DEPTH,PP_OCC,AVERAGE,23,3.242,0.000,0.000,0.540,0.120,23.63,23.12,0.99000,0.5000
350,A,Thomas Harley,DAL,CHI,1,SKATER,D,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,DEPTH,PP_OCC,AVERAGE,23,3.242,0.000,0.000,0.540,0.120,23.63,23.12,0.99000,0.5000
351,A,Johnathan Kovacevic,NJ,DET,0,SKATER,D,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,15,15,,,,,,,,,,14,DEPTH,NO_PP,SOLID,14,3.016,0.000,0.000,0.267,0.000,16.31,16.88,0.99000,0.5000
352,A,Cody Glass,NJ,DET,0,SKATER,F,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,DEPTH,NO_PP,SOLID,14,3.016,0.000,0.000,0.412,0.039,14.41,13.63,0.99000,0.5000
353,A,Robert Thomas,STL,ANA,0,SKATER,F,Time On Ice,time_on_ice,19.0,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,SECONDARY,PP_REGULAR,WEAK,30,3.500,0.000,0.000,0.867,0.200,20.15,18.88,0.99000,0.5000
354,A,Robert Thomas,STL,ANA,0,SKATER,F,Faceoffs Won,faceoffs_won,9.0,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,SECONDARY,PP_REGULAR,WEAK,30,3.500,0.000,0.000,0.867,0.200,20.15,18.88,0.99000,0.5000
355,A,Jacob Trouba,ANA,STL,1,SKATER,D,Blocked Shots,blocked_shots,2.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,DEPTH,NO_PP,WEAK,26,3.419,0.000,0.000,0.492,0.016,20.06,22.77,0.99000,0.5000
356,A,Jacob Trouba,ANA,STL,1,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,DEPTH,NO_PP,WEAK,26,3.419,0.000,0.000,0.492,0.016,20.06,22.77,0.99000,0.5000
357,A,Mason McTavish,ANA,STL,1,SKATER,F,Points,points,1.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.40,0.70,0.85,0.83,-1.1,-0.8,0,1,1,30,SECONDARY,PP_OCC,WEAK,26,3.419,0.000,0.000,0.561,0.123,18.00,16.07,0.99000,0.5000
358,A,Beckett Sennecke,ANA,STL,1,SKATER,F,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,0,SECONDARY,PP_OCC,WEAK,26,3.419,0.000,0.000,0.823,0.177,0.00,17.55,0.99000,0.5000
359,A,Beckett Sennecke,ANA,STL,1,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,0,SECONDARY,PP_OCC,WEAK,26,3.419,0.000,0.000,0.823,0.177,0.00,17.55,0.99000,0.5000
360,A,Jordan Kyrou,STL,ANA,0,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,SECONDARY,PP_REGULAR,WEAK,30,3.500,0.000,0.000,0.635,0.212,16.89,16.10,0.99000,0.5000
361,A,Mason McTavish,ANA,STL,1,SKATER,F,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,SECONDARY,PP_OCC,WEAK,26,3.419,0.000,0.000,0.561,0.123,18.00,16.07,0.99000,0.5000
362,A,Mason McTavish,ANA,STL,1,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,SECONDARY,PP_OCC,WEAK,26,3.419,0.000,0.000,0.561,0.123,18.00,16.07,0.99000,0.5000
363,A,Mikael Granlund,ANA,STL,1,SKATER,F,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,SECONDARY,PP_OCC,WEAK,26,3.419,0.000,0.000,0.711,0.132,16.97,18.93,0.99000,0.5000
364,A,Mikael Granlund,ANA,STL,1,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,SECONDARY,PP_OCC,WEAK,26,3.419,0.000,0.000,0.711,0.132,16.97,18.93,0.99000,0.5000
