proj_id,player_id,player,team,pp_team,pp_opp_team,pp_game_id,pos,stat_type,line,odds_type,start_time,league_id
10249915,221781,Joshua Jefferson,ISU,ISU,ARIZ,132695,F,Pts+Rebs,29.5,demon,2026-03-02T21:00:00.000-05:00,20
10250167,221781,Joshua Jefferson,ISU,ISU,ARIZ,132695,F,Pts+Rebs+Asts,29.5,demon,2026-03-02T21:00:00.000-05:00,20
10239156,221781,Joshua Jefferson,ISU,ISU,ARIZ,132695,F,Pts+Rebs+Asts,28.5,standard,2026-03-02T21:00:00.000-05:00,20
10239687,219387,Jaden Bradley,ARIZ,ARIZ,ISU,132695,G,Fantasy Score,27.0,standard,2026-03-02T21:00:00.000-05:00,20
10239690,287004,Motiejus Krivas,ARIZ,ARIZ,ISU,132695,C,Fantasy Score,27.0,standard,2026-03-02T21:00:00.000-05:00,20
10239699,95070,Tamin Lipsey,ISU,ISU,ARIZ,132695,G,Fantasy Score,26.0,standard,2026-03-02T21:00:00.000-05:00,20
10235457,274641,Brayden Burries,ARIZ,ARIZ,ISU,132695,G,Pts+Rebs+Asts,24.5,standard,2026-03-02T21:00:00.000-05:00,20
10249911,274641,Brayden Burries,ARIZ,ARIZ,ISU,132695,G,Pts+Rebs,24.5,demon,2026-03-02T21:00:00.000-05:00,20
10249919,279710,Koa Peat,ARIZ,ARIZ,ISU,132695,F,Pts+Rebs,24.5,demon,2026-03-02T21:00:00.000-05:00,20
10249921,179218,Milan Momcilovic,ISU,ISU,ARIZ,132695,F,Pts+Rebs,24.5,demon,2026-03-02T21:00:00.000-05:00,20
10249924,287004,Motiejus Krivas,ARIZ,ARIZ,ISU,132695,C,Pts+Rebs,24.5,demon,2026-03-02T21:00:00.000-05:00,20
10250168,221781,Joshua Jefferson,ISU,ISU,ARIZ,132695,F,Pts+Rebs+Asts,24.5,goblin,2026-03-02T21:00:00.000-05:00,20
10239152,219387,Jaden Bradley,ARIZ,ARIZ,ISU,132695,G,Pts+Rebs+Asts,23.5,standard,2026-03-02T21:00:00.000-05:00,20
10239697,179218,Milan Momcilovic,ISU,ISU,ARIZ,132695,F,Fantasy Score,23.5,standard,2026-03-02T21:00:00.000-05:00,20
10239706,279710,Koa Peat,ARIZ,ARIZ,ISU,132695,F,Fantasy Score,23.5,standard,2026-03-02T21:00:00.000-05:00,20
10239684,287583,Ivan Kharchenkov,ARIZ,ARIZ,ISU,132695,F,Fantasy Score,22.5,standard,2026-03-02T21:00:00.000-05:00,20
10239323,221781,Joshua Jefferson,ISU,ISU,ARIZ,132695,F,Pts+Asts,21.5,standard,2026-03-02T21:00:00.000-05:00,20
10235453,274641,Brayden Burries,ARIZ,ARIZ,ISU,132695,G,Points,20.5,demon,2026-03-02T21:00:00.000-05:00,20
10235456,274641,Brayden Burries,ARIZ,ARIZ,ISU,132695,G,Pts+Rebs,20.5,standard,2026-03-02T21:00:00.000-05:00,20
10235715,95070,Tamin Lipsey,ISU,ISU,ARIZ,132695,G,Pts+Rebs+Asts,20.0,standard,2026-03-02T21:00:00.000-05:00,20
10239322,219387,Jaden Bradley,ARIZ,ARIZ,ISU,132695,G,Pts+Asts,20.0,standard,2026-03-02T21:00:00.000-05:00,20
10239702,220063,Tobe Awaka,ARIZ,ARIZ,ISU,132695,F,Fantasy Score,20.0,standard,2026-03-02T21:00:00.000-05:00,20
10235496,219387,Jaden Bradley,ARIZ,ARIZ,ISU,132695,G,Points,19.5,demon,2026-03-02T21:00:00.000-05:00,20
10239153,279710,Koa Peat,ARIZ,ARIZ,ISU,132695,F,Pts+Rebs+Asts,19.5,standard,2026-03-02T21:00:00.000-05:00,20
10239154,287004,Motiejus Krivas,ARIZ,ARIZ,ISU,132695,C,Pts+Rebs+Asts,19.5,standard,2026-03-02T21:00:00.000-05:00,20
10249909,282245,Blake Buchanan,ISU,ISU,ARIZ,132695,F,Pts+Rebs,19.5,demon,2026-03-02T21:00:00.000-05:00,20
10249913,274641,Brayden Burries,ARIZ,ARIZ,ISU,132695,G,Pts+Rebs,19.5,goblin,2026-03-02T21:00:00.000-05:00,20
10249916,221781,Joshua Jefferson,ISU,ISU,ARIZ,132695,F,Pts+Rebs,19.5,goblin,2026-03-02T21:00:00.000-05:00,20
10249918,279710,Koa Peat,ARIZ,ARIZ,ISU,132695,F,Pts+Rebs,19.5,demon,2026-03-02T21:00:00.000-05:00,20
10249923,287004,Motiejus Krivas,ARIZ,ARIZ,ISU,132695,C,Pts+Rebs,19.5,demon,2026-03-02T21:00:00.000-05:00,20
10239151,287583,Ivan Kharchenkov,ARIZ,ARIZ,ISU,132695,F,Pts+Rebs+Asts,19.0,standard,2026-03-02T21:00:00.000-05:00,20
10235451,274641,Brayden Burries,ARIZ,ARIZ,ISU,132695,G,Points,18.5,demon,2026-03-02T21:00:00.000-05:00,20
10235455,274641,Brayden Burries,ARIZ,ARIZ,ISU,132695,G,Pts+Asts,18.5,standard,2026-03-02T21:00:00.000-05:00,20
10239293,219387,Jaden Bradley,ARIZ,ARIZ,ISU,132695,G,Pts+Rebs,18.5,standard,2026-03-02T21:00:00.000-05:00,20
10239295,287004,Motiejus Krivas,ARIZ,ARIZ,ISU,132695,C,Pts+Rebs,18.0,standard,2026-03-02T21:00:00.000-05:00,20
10239321,274641,Brayden Burries,ARIZ,ARIZ,ISU,132695,G,Pts+Asts,18.0,standard,2026-03-02T21:00:00.000-05:00,20
10235495,219387,Jaden Bradley,ARIZ,ARIZ,ISU,132695,G,Points,17.5,demon,2026-03-02T21:00:00.000-05:00,20
10235542,279710,Koa Peat,ARIZ,ARIZ,ISU,132695,F,Points,17.5,demon,2026-03-02T21:00:00.000-05:00,20
10235607,95070,Tamin Lipsey,ISU,ISU,ARIZ,132695,G,Points,17.5,demon,2026-03-02T21:00:00.000-05:00,20
10235565,179218,Milan Momcilovic,ISU,ISU,ARIZ,132695,F,Pts+Asts,17.0,standard,2026-03-02T21:00:00.000-05:00,20
10235452,274641,Brayden Burries,ARIZ,ARIZ,ISU,132695,G,Points,16.5,demon,2026-03-02T21:00:00.000-05:00,20
10235479,287583,Ivan Kharchenkov,ARIZ,ARIZ,ISU,132695,F,Pts+Rebs,16.5,standard,2026-03-02T21:00:00.000-05:00,20
10235518,221781,Joshua Jefferson,ISU,ISU,ARIZ,132695,F,Points,16.5,standard,2026-03-02T21:00:00.000-05:00,20
10239155,220063,Tobe Awaka,ARIZ,ARIZ,ISU,132695,F,Pts+Rebs+Asts,16.5,standard,2026-03-02T21:00:00.000-05:00,20
10239294,279710,Koa Peat,ARIZ,ARIZ,ISU,132695,F,Pts+Rebs,16.5,standard,2026-03-02T21:00:00.000-05:00,20
10235560,179218,Milan Momcilovic,ISU,ISU,ARIZ,132695,F,Points,16.0,standard,2026-03-02T21:00:00.000-05:00,20
10239324,95070,Tamin Lipsey,ISU,ISU,ARIZ,132695,G,Pts+Asts,16.0,standard,2026-03-02T21:00:00.000-05:00,20
10235450,274641,Brayden Burries,ARIZ,ARIZ,ISU,132695,G,Points,15.5,standard,2026-03-02T21:00:00.000-05:00,20
10235476,287583,Ivan Kharchenkov,ARIZ,ARIZ,ISU,132695,F,Points,15.5,demon,2026-03-02T21:00:00.000-05:00,20
10235541,279710,Koa Peat,ARIZ,ARIZ,ISU,132695,F,Points,15.5,demon,2026-03-02T21:00:00.000-05:00,20
10239296,220063,Tobe Awaka,ARIZ,ARIZ,ISU,132695,F,Pts+Rebs,15.5,standard,2026-03-02T21:00:00.000-05:00,20
10235522,221781,Joshua Jefferson,ISU,ISU,ARIZ,132695,F,Points,14.5,goblin,2026-03-02T21:00:00.000-05:00,20
10235564,179218,Milan Momcilovic,ISU,ISU,ARIZ,132695,F,Points,14.5,goblin,2026-03-02T21:00:00.000-05:00,20
10236494,219387,Jaden Bradley,ARIZ,ARIZ,ISU,132695,G,Points,14.5,standard,2026-03-02T21:00:00.000-05:00,20
10249908,282245,Blake Buchanan,ISU,ISU,ARIZ,132695,F,Pts+Rebs,14.5,demon,2026-03-02T21:00:00.000-05:00,20
10249920,279710,Koa Peat,ARIZ,ARIZ,ISU,132695,F,Pts+Rebs,14.5,goblin,2026-03-02T21:00:00.000-05:00,20
10249925,287004,Motiejus Krivas,ARIZ,ARIZ,ISU,132695,C,Pts+Rebs,14.5,goblin,2026-03-02T21:00:00.000-05:00,20
10235431,282245,Blake Buchanan,ISU,ISU,ARIZ,132695,F,Pts+Rebs+Asts,14.0,standard,2026-03-02T21:00:00.000-05:00,20
10235475,287583,Ivan Kharchenkov,ARIZ,ARIZ,ISU,132695,F,Points,13.5,demon,2026-03-02T21:00:00.000-05:00,20
10235498,219387,Jaden Bradley,ARIZ,ARIZ,ISU,132695,G,Points,13.5,goblin,2026-03-02T21:00:00.000-05:00,20
10235540,279710,Koa Peat,ARIZ,ARIZ,ISU,132695,F,Points,13.5,demon,2026-03-02T21:00:00.000-05:00,20
10235714,279710,Koa Peat,ARIZ,ARIZ,ISU,132695,F,Pts+Asts,13.5,standard,2026-03-02T21:00:00.000-05:00,20
10237727,274641,Brayden Burries,ARIZ,ARIZ,ISU,132695,G,Points,13.5,goblin,2026-03-02T21:00:00.000-05:00,20
10237729,287583,Ivan Kharchenkov,ARIZ,ARIZ,ISU,132695,F,Pts+Asts,13.5,standard,2026-03-02T21:00:00.000-05:00,20
10235430,282245,Blake Buchanan,ISU,ISU,ARIZ,132695,F,Pts+Rebs,13.0,standard,2026-03-02T21:00:00.000-05:00,20
