player,team,prop_type,actual,PTS,REB,AST,BLK,STL,TO,FGM,FGA,3PM,3PA,3PT,FTM,FTA,2PM,2PA,OREB,DREB,PF,MIN
Eduardo Klafke,MISS,Turnovers,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,4.0,2.0,18.0
Eduardo Klafke,MISS,Steals,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,4.0,2.0,18.0
Eduardo Klafke,MISS,Blocked Shots,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,4.0,2.0,18.0
Eduardo Klafke,MISS,Assists,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,4.0,2.0,18.0
Corey Chest,MISS,Personal Fouls,0.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,13.0
Max Mackinnon,LSU,Blks+Stls,0.0,28.0,4.0,1.0,0.0,0.0,3.0,11.0,17.0,2.0,6.0,2.0,4.0,6.0,9.0,11.0,2.0,2.0,4.0,33.0
Jalen Reece,LSU,Offensive Rebounds,0.0,11.0,6.0,7.0,0.0,1.0,1.0,5.0,11.0,0.0,4.0,0.0,1.0,2.0,5.0,7.0,0.0,6.0,1.0,38.0
Jalen Reece,LSU,3-PT Made,0.0,11.0,6.0,7.0,0.0,1.0,1.0,5.0,11.0,0.0,4.0,0.0,1.0,2.0,5.0,7.0,0.0,6.0,1.0,38.0
Jalen Reece,LSU,Blocked Shots,0.0,11.0,6.0,7.0,0.0,1.0,1.0,5.0,11.0,0.0,4.0,0.0,1.0,2.0,5.0,7.0,0.0,6.0,1.0,38.0
Rashad King,LSU,Turnovers,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,19.0
Rashad King,LSU,Steals,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,19.0
Rashad King,LSU,Blocked Shots,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,19.0
Rashad King,LSU,Assists,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,19.0
Rashad King,LSU,Rebounds,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,19.0
Rashad King,LSU,Blks+Stls,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,19.0
Rashad King,LSU,Rebs+Asts,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,19.0
Marquel Sutton,LSU,Steals,0.0,11.0,7.0,0.0,1.0,0.0,1.0,5.0,12.0,1.0,2.0,1.0,0.0,0.0,4.0,10.0,3.0,4.0,2.0,36.0
Marquel Sutton,LSU,Assists,0.0,11.0,7.0,0.0,1.0,0.0,1.0,5.0,12.0,1.0,2.0,1.0,0.0,0.0,4.0,10.0,3.0,4.0,2.0,36.0
Eduardo Klafke,MISS,Blks+Stls,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,4.0,2.0,18.0
Eduardo Klafke,MISS,Offensive Rebounds,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,4.0,2.0,18.0
Eduardo Klafke,MISS,3-PT Attempted,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,4.0,2.0,18.0
