player,team,prop_type,actual,league,SOT,SH,G,A,SV,PA,KP,TK
Richarlison,TOT,Assists,1.0,uefa.champions,,2.0,0.0,1.0,,,,
Richarlison,TOT,Fouls,1.0,uefa.champions,,2.0,0.0,1.0,,,,
Richarlison,TOT,Yellow Cards,1.0,uefa.champions,,2.0,0.0,1.0,,,,
Mathys Tel,TOT,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
João Palhinha,TOT,Fouls,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Gabriel Sara,GAL,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Dominic Solanke,TOT,Goals,1.0,uefa.champions,,2.0,1.0,0.0,,,,
Aaron Ramsdale,NEW,Goalkeeper Saves,1.0,uefa.champions,,0.0,0.0,0.0,1.0,,,
Dan Burn,NEW,Fouls,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Joshua Kimmich,MUN,Yellow Cards,1.0,uefa.champions,,3.0,0.0,0.0,,,,
Lewis Hall,NEW,Fouls,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Sead Kolasinac,ATA,Fouls,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Mario Lemina,GAL,Goals,1.0,uefa.champions,,3.0,1.0,0.0,,,,
Sandro Tonali,NEW,Yellow Cards,1.0,uefa.champions,,3.0,0.0,0.0,,,,
Mario Lemina,GAL,Fouls,1.0,uefa.champions,,3.0,1.0,0.0,,,,
Nicolas Jackson,MUN,Goals,1.0,uefa.champions,,5.0,1.0,1.0,,,,
Nicolas Jackson,MUN,Assists,1.0,uefa.champions,,5.0,1.0,1.0,,,,
Yunus Musah,ATA,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Isak Hien,ATA,Fouls,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Harvey Barnes,NEW,Goals,1.0,uefa.champions,,4.0,1.0,0.0,,,,
Harvey Barnes,NEW,Fouls,1.0,uefa.champions,,4.0,1.0,0.0,,,,
Lucas Torreira,GAL,Fouls,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Tino Livramento,NEW,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Joe Willock,NEW,Fouls,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Joe Willock,NEW,Yellow Cards,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Jacob Murphy,NEW,Shots,1.0,uefa.champions,,1.0,0.0,1.0,,,,
Jacob Murphy,NEW,Assists,1.0,uefa.champions,,1.0,0.0,1.0,,,,
Jeremie Frimpong,LIV,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
João Cancelo,BAR,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
João Cancelo,BAR,Fouls,1.0,uefa.champions,,1.0,0.0,0.0,,,,
João Cancelo,BAR,Yellow Cards,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Victor Osimhen,GAL,Assists,1.0,uefa.champions,,6.0,0.0,1.0,,,,
Ronald Araújo,BAR,Fouls,1.0,uefa.champions,,2.0,0.0,0.0,,,,
Fermín López,BAR,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Victor Osimhen,GAL,Fouls,1.0,uefa.champions,,6.0,0.0,1.0,,,,
Marc Bernal,BAR,Fouls,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Robert Lewandowski,BAR,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Robert Lewandowski,BAR,Fouls,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Raphinha,BAR,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Konrad Laimer,MUN,Yellow Cards,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Lamine Yamal,BAR,Goals,1.0,uefa.champions,,2.0,1.0,0.0,,,,
Lamine Yamal,BAR,Fouls,1.0,uefa.champions,,2.0,1.0,0.0,,,,
Ferran Torres,BAR,Fouls,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Abdülkerim Bardakci,GAL,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Marcus Rashford,BAR,Fouls,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Ahmed Kutucu,GAL,Goals,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Ahmed Kutucu,GAL,Assists,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Ahmed Kutucu,GAL,Fouls,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Ahmed Kutucu,GAL,Yellow Cards,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Eren Elmali,GAL,Shots,0.0,uefa.champions,,0.0,0.0,0.0,,,,
Eren Elmali,GAL,Goals,0.0,uefa.champions,,0.0,0.0,0.0,,,,
