nba_player_id,player,team,opp_team,line,actual,prop_type_norm,pick_type,bet_direction,tier,abs_edge,abs_edge_bucket,minutes_proj,minutes_bucket,actual_minutes,OVERALL_DEF_RANK,_opp_def_bucket,pick_minutes_bucket,dir_minutes_bucket,min_def_bucket,allowed_dir,dir_ok,platform_ok,result,void_reason,result_sign,pos,prop_type,prop_norm,stat_prefix,pick_type_key,forced_over_only,eligible,is_combo,min_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,DEF_TIER,projection,edge,edge_dr,confidence,prop_weight,reliability_mult,dir_mult,rank_score,min_last10_avg,min_last5_avg,min_season_avg_s4
1641706,Brandon Miller,CHA,DET,1.5,2.0,steals,Demon,OVER,D,0.342,0-0.99,30.6,28-31.99,35.983333333333334,3,1-10 Strong,Demon | 28-31.99,OVER | 28-31.99,28-31.99 | 1-10 Strong,,0,0,HIT,,1,F,Steals,steals,stl,demon,True,False,False,30.194,1,4,0,0.2,Elite,1.158,-0.342,0.448,0.0,1.0,0.4,0.85,-9999.0,30.6,31.0,30.194444444444443
1641706,Brandon Miller,CHA,DET,1.5,3.0,stocks,Goblin,OVER,D,,NA,30.6,28-31.99,35.983333333333334,3,1-10 Strong,Goblin | 28-31.99,OVER | 28-31.99,28-31.99 | 1-10 Strong,,0,0,HIT,,1,F,Blks+Stls,blks+stls,,goblin,True,False,False,30.194,0,0,0,0.0,Elite,,,0.0,0.0,1.0,0.6,0.85,-9999.0,30.6,31.0,30.194444444444443
,Rui Hachimura + Aaron Wiggins,LAL/OKC,LAL,4.0,,fg3m,Standard,UNDER,D,,NA,,NA,,24,21-30 Weak,Standard | NA,UNDER | NA,NA | 21-30 Weak,,0,0,VOID,COMBO_PROP,0,F,3-PT Made (Combo),3ptmade(combo),,standard,False,False,True,,0,0,0,0.0,Bad,,,0.0,0.0,1.0,1.0,1.25,-9999.0,,,
,Rui Hachimura + Aaron Wiggins,LAL/OKC,LAL,4.0,,fg3m,Standard,UNDER,D,,NA,,NA,,24,21-30 Weak,Standard | NA,UNDER | NA,NA | 21-30 Weak,,0,0,VOID,COMBO_PROP,0,F,3-PT Made (Combo),3ptmade(combo),,standard,False,False,True,,0,0,0,0.0,Bad,,,0.0,0.0,1.0,1.0,1.25,-9999.0,,,53.66666666666666
,Rui Hachimura + Aaron Wiggins,LAL/OKC,LAL,4.0,,fg3m,Standard,UNDER,D,,NA,,NA,,24,21-30 Weak,Standard | NA,UNDER | NA,NA | 21-30 Weak,,0,0,VOID,COMBO_PROP,0,F,3-PT Made (Combo),3ptmade(combo),,standard,False,False,True,,0,0,0,0.0,Bad,,,0.0,0.0,1.0,1.0,1.25,-9999.0,,,55.0
,Rui Hachimura + Aaron Wiggins,LAL/OKC,LAL,4.0,,fg3m,Standard,UNDER,D,,NA,,NA,,24,21-30 Weak,Standard | NA,UNDER | NA,NA | 21-30 Weak,,0,0,VOID,COMBO_PROP,0,F,3-PT Made (Combo),3ptmade(combo),,standard,False,False,True,,0,0,0,0.0,Bad,,,0.0,0.0,1.0,1.0,1.25,-9999.0,,,
,Rui Hachimura + Aaron Wiggins,LAL/OKC,LAL,4.0,,fg3m,Standard,UNDER,D,,NA,,NA,,24,21-30 Weak,Standard | NA,UNDER | NA,NA | 21-30 Weak,,0,0,VOID,COMBO_PROP,0,F,3-PT Made (Combo),3ptmade(combo),,standard,False,False,True,,0,0,0,0.0,Bad,,,0.0,0.0,1.0,1.0,1.25,-9999.0,,,41.0
,Rui Hachimura + Aaron Wiggins,LAL/OKC,LAL,4.0,,fg3m,Standard,UNDER,D,,NA,,NA,,24,21-30 Weak,Standard | NA,UNDER | NA,NA | 21-30 Weak,,0,0,VOID,COMBO_PROP,0,F,3-PT Made (Combo),3ptmade(combo),,standard,False,False,True,,0,0,0,0.0,Bad,,,0.0,0.0,1.0,1.0,1.25,-9999.0,,,45.0
,Rui Hachimura + Aaron Wiggins,LAL/OKC,LAL,4.0,,fg3m,Standard,UNDER,D,,NA,,NA,,24,21-30 Weak,Standard | NA,UNDER | NA,NA | 21-30 Weak,,0,0,VOID,COMBO_PROP,0,F,3-PT Made (Combo),3ptmade(combo),,standard,False,False,True,,0,0,0,0.0,Bad,,,0.0,0.0,1.0,1.0,1.25,-9999.0,,,
,Rui Hachimura + Aaron Wiggins,LAL/OKC,LAL,4.0,,fg3m,Standard,UNDER,D,,NA,,NA,,24,21-30 Weak,Standard | NA,UNDER | NA,NA | 21-30 Weak,,0,0,VOID,COMBO_PROP,0,F,3-PT Made (Combo),3ptmade(combo),,standard,False,False,True,,0,0,0,0.0,Bad,,,0.0,0.0,1.0,1.0,1.25,-9999.0,,,
