espn_player_id,player,pos,team,opp_team,league,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,gp,goals_conceded,goals_conceded_pg,shots_conceded_pg,clean_sheets,wins,draws,losses,OVERALL_DEF_RANK,DEF_TIER,opp_team_1,opp_team_2,gp_DEF_1,goals_conceded_DEF_1,goals_conceded_pg_DEF_1,shots_conceded_pg_DEF_1,clean_sheets_DEF_1,wins_DEF_1,draws_DEF_1,losses_DEF_1,OVERALL_DEF_RANK_DEF_1,DEF_TIER_DEF_1,gp_DEF_2,goals_conceded_DEF_2,goals_conceded_pg_DEF_2,shots_conceded_pg_DEF_2,clean_sheets_DEF_2,wins_DEF_2,draws_DEF_2,losses_DEF_2,OVERALL_DEF_RANK_DEF_2,DEF_TIER_DEF_2,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,avg_minutes,avg_passes,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5
,Paolo Fernandes,Attacker,KHALEEJ,HAZEM,SOCCER,0.5,Goals,goals,Demon,10279113,10279113,257272,132888,2026-03-06T14:00:00.000-05:00,,,,1,https://static.prizepicks.com/images/players/placeholder.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Thamer Khaibri,Attacker,KHALEEJ,HAZEM,SOCCER,0.5,Goals,goals,Demon,10279114,10279114,298593,132888,2026-03-06T14:00:00.000-05:00,,,,1,,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Youssouf Oumarou,Midfielder,HAZEM,KHALEEJ,SOCCER,0.5,Goals,goals,Demon,10279115,10279115,299005,132888,2026-03-06T14:00:00.000-05:00,,,,1,,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Aschraf El Mahdioui,Midfielder,TAAWOUN,FATEH,SOCCER,55.5,Passes Attempted,passes,Standard,10336082,10336082,193305,132896,2026-03-06T14:00:00.000-05:00,,,55.5,0,https://static.prizepicks.com/images/manual/Aschraf El Mahdioui.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Zaydou Youssouf,Midfielder,FATEH,TAAWOUN,SOCCER,37.5,Passes Attempted,passes,Standard,10336078,10336078,235433,132896,2026-03-06T14:00:00.000-05:00,,,37.5,0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/soc/low-res/90046166.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,,Goalkeeper,TAAWOUN,FATEH,SOCCER,29.5,Passes Attempted,passes,Standard,10336081,10336081,193302,132896,2026-03-06T14:00:00.000-05:00,,,29.5,0,https://static.prizepicks.com/images/manual/Mailson.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Matías Vargas,Midfielder,FATEH,TAAWOUN,SOCCER,25.5,Passes Attempted,passes,Standard,10336079,10336079,235431,132896,2026-03-06T14:00:00.000-05:00,,,25.5,0,https://static.prizepicks.com/images/manual/Mat%C3%ADas%20Vargas.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Fernando Pacheco,Goalkeeper,FATEH,TAAWOUN,SOCCER,19.5,Passes Attempted,passes,Standard,10336077,10336077,271075,132896,2026-03-06T14:00:00.000-05:00,,,19.5,0,https://static.prizepicks.com/images/manual/Fernando Pacheco .png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
252617,Roger Martínez,Attacker,TAAWOUN,FATEH,SOCCER,17.5,Passes Attempted,passes,Standard,10336080,10336080,256790,132896,2026-03-06T14:00:00.000-05:00,,,17.5,0,https://static.prizepicks.com/images/manual/Roger Beyker Martínez Tobinson.png,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_CACHE_DATA,,,MISSING_STAT_VALUES,,,,,,
,Andrei Girotto,Defender,TAAWOUN,FATEH,SOCCER,6.5,Clearances,clearances,Standard,10334783,10334783,196093,132896,2026-03-06T14:00:00.000-05:00,,,6.5,0,https://static.prizepicks.com/images/players/placeholder.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Marwane Saâdane,Midfielder,FATEH,TAAWOUN,SOCCER,5.5,Clearances,clearances,Standard,10334784,10334784,170482,132896,2026-03-06T14:00:00.000-05:00,,,5.5,0,https://static.prizepicks.com/images/manual/Marwane Saadane.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
