Sport,tier,rank_score,player,team,opp,prop_label,pick_type,line,bet_direction,edge,proj,hit_rate,L5 Avg,Szn Avg,L5 Over,L5 Under,opp_def_tier,game_time,prop_norm,espn_athlete_id
CBB,D,0.07,Blake Buchanan,ISU,ARIZ,Pts+Rebs,Standard,13,OVER,0.8500000000000014,13.85,0.597,14.6,14,3,1,Elite,03/02 09:00PM,pr,
CBB,D,0.06,Koa Peat,ARIZ,ISU,Assists,Standard,2.5,OVER,0.07580000000000009,2.5758,0.5,2.8,2.579,3,2,,03/02 09:00PM,ast,
CBB,D,0.06,Cameron Boozer,DUKE,NCST,Rebs+Asts,Standard,14,OVER,0.1286000000000005,14.1286,0.45,14.2,14.143,2,2,Avg,03/02 07:00PM,ra,
CBB,D,0.06,Tobe Awaka,ARIZ,ISU,Blocked Shots,Standard,0.5,OVER,0.07640000000000002,0.5764,0.45,0.4,0.682,2,3,,03/02 09:00PM,blk,
CBB,D,0.05,Patrick Ngongba,DUKE,NCST,Pts+Asts,Standard,12.5,UNDER,-0.2000000000000011,12.3,0.45,12.6,11.7,3,2,Avg,03/02 07:00PM,pa,
CBB,D,0.05,Quadir Copeland,NCST,DUKE,Pts+Rebs,Standard,15,OVER,1.390000000000001,16.39,0.5,15.4,17.5,2,3,Elite,03/02 07:00PM,pr,
CBB,D,0.04,Quadir Copeland,NCST,DUKE,Pts+Rebs+Asts,Standard,21.5,OVER,1.780000000000001,23.28,0.5,21.2,25,2,3,Elite,03/02 07:00PM,pra,
CBB,D,0.02,Brayden Burries,ARIZ,ISU,Rebs+Asts,Standard,8.5,OVER,0.07360000000000078,8.5736,0.45,8.6,8.318,2,3,,03/02 09:00PM,ra,
CBB,D,0.02,Rob Lawson,MORG,NORF,Rebounds,Standard,3.5,UNDER,-0.009999999999999787,3.49,0.5,3.6,3.2,2,3,,03/02 06:00PM,reb,
CBB,D,0.02,Milan Momcilovic,ISU,ARIZ,Turnovers,Goblin,0.5,OVER,0.1336000000000001,0.6336,0.55,0.4,0.818,2,3,Elite,03/02 09:00PM,tov,
CBB,D,0.01,Jaden Bradley,ARIZ,ISU,Assists,Standard,5,OVER,0.1218000000000004,5.1218,0.35,5.4,4.909,2,3,,03/02 09:00PM,ast,
CBB,D,0,Paul McNeil,NCST,DUKE,Pts+Rebs+Asts,Standard,15.5,OVER,1.154599999999999,16.6546,0.6,16,17.773,3,2,Elite,03/02 07:00PM,pra,
CBB,D,-0.02,Tamin Lipsey,ISU,ARIZ,Rebounds,Standard,4,OVER,0.3071999999999999,4.3072,0.5,4.2,4.286,2,2,Elite,03/02 09:00PM,reb,
CBB,D,-0.02,Patrick Ngongba,DUKE,NCST,Points,Standard,10.5,UNDER,-0.1399999999999988,10.36,0.3,10.6,9.85,4,1,Avg,03/02 07:00PM,pts,
CBB,D,-0.03,Caleb Foster,DUKE,NCST,Rebs+Asts,Standard,7,OVER,0.005800000000000693,7.005800000000001,0.4,7,6.429,2,3,Avg,03/02 07:00PM,ra,
CBB,D,-0.03,Brayden Burries,ARIZ,ISU,Pts+Rebs+Asts,Demon,25.5,OVER,-0.08279999999999887,25.4172,0.5,24.2,25.636,2,3,,03/02 09:00PM,pra,
CBB,D,-0.03,Tamin Lipsey,ISU,ARIZ,Points,Standard,11.5,OVER,0.5924000000000014,12.0924,0.55,11.8,11.762,2,3,Elite,03/02 09:00PM,pts,
CBB,D,-0.03,Brayden Burries,ARIZ,ISU,Rebounds,Standard,5.5,OVER,0.1281999999999996,5.6282,0.25,5.6,5.591,1,4,,03/02 09:00PM,reb,
CBB,D,-0.04,Tamin Lipsey,ISU,ARIZ,Fantasy Score,Standard,26,OVER,1.302999999999997,27.303,0.45,26.24,28.69,2,3,Elite,03/02 09:00PM,fantasy score,
CBB,D,-0.04,Motiejus Krivas,ARIZ,ISU,Points,Standard,9.5,UNDER,-0.02899999999999991,9.471,0.35,8.8,10.955,3,2,,03/02 09:00PM,pts,
CBB,D,-0.05,Paul McNeil,NCST,DUKE,Points,Standard,11.5,OVER,0.9410000000000007,12.441,0.45,11.4,13.455,2,3,Elite,03/02 07:00PM,pts,
CBB,D,-0.07,Tamin Lipsey,ISU,ARIZ,Turnovers,Goblin,1.5,OVER,0.05580000000000007,1.5558,0.6,1.4,1.429,3,2,Elite,03/02 09:00PM,tov,
CBB,D,-0.07,Quadir Copeland,NCST,DUKE,Points,Standard,12,OVER,0.9345999999999997,12.9346,0.45,12.2,13.773,2,3,Elite,03/02 07:00PM,pts,
CBB,D,-0.07,Paul McNeil,NCST,DUKE,Pts+Asts,Standard,12,OVER,0.9272000000000009,12.9272,0.45,11.8,14.136,2,3,Elite,03/02 07:00PM,pa,
CBB,D,-0.08,Koa Peat,ARIZ,ISU,Blocked Shots,Demon,0.5,OVER,-0.004199999999999982,0.4958,0.25,0.4,0.579,1,4,,03/02 09:00PM,blk,
CBB,D,-0.11,Tamin Lipsey,ISU,ARIZ,Pts+Rebs+Asts,Standard,20,OVER,0.8286000000000016,20.8286,0.55,20,21.143,2,3,Elite,03/02 09:00PM,pra,
CBB,D,-0.16,Tamin Lipsey,ISU,ARIZ,Pts+Asts,Standard,16,OVER,0.5213999999999999,16.5214,0.55,15.8,16.857,2,3,Elite,03/02 09:00PM,pa,
