cx,tier,rank_score,player,team,opp,prop_label,pick_type,line,bet_direction,edge,proj,hit_rate,L5 Avg,Szn Avg,L5 Over,L5 Under,opp_def_tier,game_time,prop_norm,espn_athlete_id
CBB,A,0.99,Andrej Stojakovic,ILL,MICH,Pts+Rebs+Asts,Goblin,13.5,OVER,5.5,19,0.65,19.6,18.4,4,1,Elite,02/27 08:00PM,pra,
CBB,A,0.99,Kylan Boswell,ILL,MICH,Assists,Goblin,2.5,OVER,2.3,4.8,0.8,4.8,4.8,4,1,Elite,02/27 08:00PM,ast,
CBB,A,0.99,Tomislav Ivisic,ILL,MICH,Points,Goblin,9.5,OVER,3.15,12.65,0.8,14.2,11.1,5,0,Elite,02/27 08:00PM,pts,
CBB,A,0.98,Carson Cooper,MSU,PUR,Pts+Rebs+Asts,Goblin,14.5,OVER,4.449999999999999,18.95,0.6499999999999999,18.2,19.7,3,2,Elite,02/26 08:00PM,pra,
CBB,A,0.96,Jeremy Fears,MSU,PUR,Pts+Rebs+Asts,Goblin,23.5,OVER,5.900000000000002,29.4,0.6499999999999999,28.2,30.6,3,2,Elite,02/26 08:00PM,pra,
CBB,A,0.96,Andrej Stojakovic,ILL,MICH,Points,Goblin,9.5,OVER,4,13.5,0.5,14.4,12.6,3,2,Elite,02/27 08:00PM,pts,
CBB,B,0.95,Oscar Cluff,PUR,MSU,Fantasy Score,Goblin,13,OVER,6.015000000000001,19.015,0.55,19.68,18.35,3,2,Elite,02/26 08:05PM,fantasy score,
CBB,B,0.95,Jaxon Kohler,MSU,PUR,Pts+Rebs,Goblin,14.5,OVER,3.399999999999999,17.9,0.75,19,16.8,4,1,Elite,02/26 08:00PM,pr,
CBB,B,0.95,Trevon Brazile,ARK,FLA,Points,Standard,9.5,OVER,2.700000000000001,12.2,0.9,12.4,12,5,0,Above Avg,02/28 08:30PM,pts,
CBB,B,0.94,Darius Acuff,ARK,FLA,Points,Standard,22.5,OVER,5.75,28.25,0.55,30,26.5,3,2,Above Avg,02/28 08:30PM,pts,
CBB,B,0.93,Keaton Wagler,ILL,MICH,Pts+Rebs,Standard,21.5,OVER,3.949999999999999,25.45,0.75,24.2,26.7,4,1,Elite,02/27 08:00PM,pr,
CBB,B,0.93,David Mirkovic,ILL,MICH,Pts+Asts,Standard,13.5,OVER,3.850000000000001,17.35,0.6499999999999999,18,16.7,3,2,Elite,02/27 08:00PM,pa,
CBB,B,0.92,Kylan Boswell,ILL,MICH,Pts+Rebs+Asts,Goblin,17.5,OVER,3.5,21,0.8,21,21,4,1,Elite,02/27 08:00PM,pra,
